label, sentence
radio_drama,Tell me about The Judas Gift available on TIME Vault and start playback
news,start a news summary
cartoon,Start a Just in Case ("Wick" N 292) that's filled with magic and adventure – it's gonna be awesome
cartoon,Watch Thriller on Anime Onegai and start playback
short_film,Dive into the world of Three of Them in under 45 minutes on Crunchyroll 
radio,tune in to local radio
documentary,Explore The Finishing Line and play it on Buddhist Digital Archives 
game,I feel like having a auto battler gaming session, are you up for it
silent_movie,I'm looking for a unique cinematic experience; any recommendations for silent films on Youtube TV 
game,Time to conquer Magic Lessons in Wand Valley - a jigsaw puzzle tale on Gamerz Tek 8-bit entertainment system are you up for it
bw_movie,Initiate playback of a vintage Faust et Marguerite with no color on the smart speaker, when you're ready
music,Play the quantum harmonics of musique concrete for heightened brain activity
audiobook,Immerse yourself in the Lamrim narrative on Hoopla 
podcast,I want to explore drama podcast podcasts beyond Parcast Network 
podcast,Play technology podcast from Digital Assets Repository 
movie,Which Haben und Nichthaben is trending on Filmnet 
bts,Recommend behind-the-scenes videos for Sasszem on Roku Channel 
silent_movie,Take me back to the silent era with a recommendation from The Ormond Organization on Namava 
cartoon,start a family-friendly animated show
radio,I'd like to tune into a radio program on my preferred streaming service
music,Recommend a electroacoustic music playlist for a workout on Navahang 
music,Issue the directive to listen to Dead Presidents II by Sebastian Steffen on Bugs!
movie,Play the movie The Nesting on FilmStruck by StudioCanal, it's so much better than whatever
documentary,What's The Biology of Subnautica about? Play it on Odia Bibhaba 
movie,Can you play a movie from Globe Studios starring Siobhan McKenna on HBO Now
music,Play Find Your Way Back and similar Frisian pop hits on Amazon Music from 577 Records 
documentary,Search for Playing for Peanuts on Biblioteca Virtual de Defensa and start playback
movie,Search for My Life in Ruins from Mitchell Beazley International on Amazon Prime Video for me
movie,I want to watch a film from TriArt Film known for its artistic direction on Sling TV
radio_drama,What's playing in the classic adventure category on Podcast Addict 
movie,I can't believe how frustrating this is! Where is Ghaath directed by SVOEkino Film Distribution in the erotic film category on Kanopy
movie,Watch The Last Scout on Netflix by Warner Sogefilms, it's an extraordinary film
audiobook,Read a novel from Portuguese Malacca on JukeBoxAlive 
movie,Can you stream the film Until the Last One directed by Sidney M. Cohen with Michael Long in the cast
audio,Recommend cast recording
podcast,Play the latest episode of "Tech Talk" with guest interviews on Player FM 
movie,Stream movie The World of Jacques Demy on tabii now
music,Initiate a mellow music playlist
movie,Cue up kitchen sink realism film Weite Strassen - stille Liebe on Tubi 
news,Get me the news highlights from The 20th Century in Thailand on Amazon Music News 
documentary,Recommend historical non-fiction
music,Play I'm Here by Werner Seitz, it's a true classic
audiobook,Resume the latest audio storytelling you were listening to on Tales2Go 
adult,Show me explicit lesbian pornography movies on Iceporn 
movie,Can you hurry up and start the latest movie by Jason O'Brien on Avanti Cinema
audio,Give me details about public service announcement recording on Ultimate Guitar
hentai,Give me details about Angel of Darkness on Ibom E-Library and recommend something
video,start a video blog
music,Find the music from a film d'horreur de blaxploitation film
comic,start a visually engaging narrative
radio_drama,I'm curious about Exploration Earth: The Time Machine in Deezer 
bw_movie,play a black and white cinematic experience
cartoon,Find a heartwarming children's animation
podcast,Immerse yourself in food and drinks podcast stories with La Cellule on Radiocut Malaysia 
audio,Let's enjoy environmental sounds 
movie,Let's watch Divorce and The Daughter on Youtube Movies, and it has to be from Topic
movie,Watch that charming movie The Power of the Whistler on Youtube TV from ProVideo
music,Start a shuffled music experience
movie,Commence playback of the my daily routine film Numere fatale with Tomisaburo Wakayama directed by Wan Laiming on Prime Fight Play 
podcast,Suggest Earwolf podcasts for a workout session
short_film,watch a movie that's not too lengthy
audiobook,start audio books
cartoon,watch a cartoon on TV
movie,Cue up Mirties namai on Youtube Movies
music,Launch ROXI and play Rhinestone Cowboy from the album Alone Aboard the Ark by LENPHa 
video,Play stand-up comedy specials from GachaTube 
bw_movie,Commence streaming a vintage Jour de marche a Trouville in monochrome on the living room TV, if possible
movie,Pick a movie randomly and play it
hentai,play hentai scenes
silent_movie,Explore Quibi for hidden gems in silent cinema from AppleBox Studios 
music,I'd like to listen to Dem Dead by Jedi Mind Tricks from the album Music of 428: Shibuya Scramble and Canaan on MyMusic 
audiobook,Resume the truong ca audio storytelling on Nook Audiobooks 
movie,Cue up Hiipiva tiikeri, piilotettu lohikaarme directed by Wallimage on Prime Fight Play . It's a must-see in the horror film category
music,Give me a surprise song
radio_drama,I enjoy content related to detective 
cartoon,Press play and enjoy the humor of classic cartoons
movie,Ugh, can you play Blackball on Starz right now
video,Watch videos from GoldenGlare 
video,watch a sports commentary video
cartoon,Can you suggest a classic Triangle that never gets old
documentary,Search for Versailles '73: American Runway Revolution on California Ethnic and Multicultural Archives
series,Start a marathon of La esposa virgen episodes on MLS Season Pass 
music,Initiate a positive vibes music playlist
movie,play a popular movie from Cite du Cinema on YouTube Movies 
silent_movie,Play a silent movie by The Foster Photoplay Company on the smart thermostat display
podcast,Explore hockey podcast on Normannia and start playback
bw_movie,begin a classic black and white film
audio,Tell me about spoken word recording
comic,show me a narrative with images
documentary,start a documentary about music
cartoon,Watch a cartoon available on VRV 
movie,Could you find a movie with Myriam Muniz for me on Disney+
bw_movie,Begin a vintage film in black and white on the smart TV
cartoon,start an animated series with science fiction
series,Start watching the latest episode from the beginning for Betty in New York on Footters 
video,Discover motivational TED Talks on Paramount+ with Showtime 
cartoon,Experience the whimsy of Mecha with Mica sirena: Inceputurile lui Ariel on Ameba 
radio_drama,What's the latest in thriller radio play radio theatre on Radio Theatre Workshop 
hentai,I enjoy content related to Fencer of Minerva , what do you suggest
movie,What's a must watch movie from Hammerstone Studios available on Filmnet right now
radio,Any recommendations for new radio content on streaming platforms
podcast,Suggest something similar to Small Town Horror on Bibliotheca Hertziana - Rare book digitization 
cartoon,Watch a classic cartoon series
music,Can you recommend something like Punk Chicano 
hentai,Play anime for mature audiences - let's see what's out there
news,what's the local news
podcast,Play a random episode of Push The Point Overwatch L on mevio 
movie,My good sir, might I humbly request the cinematic experience of Take Down - Die Todesinsel within the anime film category on the distinguished Peacock
podcast,play SpyHards Podcast
music,play ultimate indie playlist
video,watch a product unboxing video
podcast,Tell me about the most popular podcasts in the comedy genre on Podimo 
bts,start a video on film editing techniques
audio,Play some relaxing ambient sounds 
audio,play wind chimes
ad,Provide the audio narrative for Werewolf Rising on Vimeo On Demand 
short_film,Search for brief storytelling 
music,play a song by UK82
music,The Commander-In-Chief 's music has a unique blend of indi-rok elements that I appreciate
music,Start playing movie soundtrack 
adult,play Luana Borgia scenes from IcePorn
radio_drama,Search for radio play on Atlanta Radio Theatre
series,Find me the pilot episode of Disokkupati on Seezn 
movie,Start streaming Bab El-Oued City starring Thomas Haden Church on NAVER NOW.
music,Spurs For Jesus always brings a fresh perspective to ramopunk it's quite refreshing
documentary,start a documentary on climate change
series,Search for the newest 4 estrellas episode on WikiFlix 
movie,suggest a top rated movie from A Plus Films available on HBO Now 
series,I'm interested in A Man Called Hawk – where can I watch it on Direktesport 
radio_drama,I love comedy
radio,start radio pop hits
bw_movie,Recommend an old Jour de marche a Trouville to play in black and white
news,What's the latest with the Namibia international news on Reuters TV 
video,start a video on space exploration
short_film,Watch Finger Prints on Lingopie and start playback
hentai,Find adult Cream Lemon videos
game,I want to play a skiing video game 
music,I like lamentu
hentai,show explicit cartoons
cartoon,play a cartoon with imaginative worlds
audio,play wind blowing
podcast,Suggest podcasts for a relaxing evening on fyyd 
series,I'm looking for a series to binge-watch. How about For the Greater Good on Periscope 
radio,start radio smooth jazz
music,play a song from a video game soundtrack
anime,I'm in the mood for anime episode  let's play
documentary,Search for Inside the Mind of a Cat on Digital Library of Han-Nom and suggest a playlist
movie,I want to watch a drama, play a movie from Odeon Sky Filmworks on Roku Channel
anime,Time to explore a new anime content 
video,Play Psych2Go 's video recording in storytime on udictio 
movie,Discover the enchanting world of torture porn through the lens of La bruixola daurada on Youtube Movies 
bw_movie,    Explore the timeless allure of The Moon Has Risen in black and white on Netflix 
silent_movie,I want to watch Human Collateral on Justin.tv 
podcast,Look for personal finance podcast on Prof. Festus Aghagbo Nwako Library, Nnamdi Azikiwe University, Awka and start playback
movie,Like, seriously, I just want to watch To mennesker gor sig fri in the Commedia all'italiana category on Hulu , is that too much to ask
silent_movie,start a silent black and white film marathon
series,Recommend a series on Zappn 
bw_movie,I want to watch something like Jour de marche a Trouville on Rutube 
audiobook,Select an book on tape in the Fiction genre, such as Die Auserwahlten - Phase Null , to listen to on Edition Apollon 
cartoon,What's a timeless Mister Twister that both kids and adults would enjoy
bw_movie,Begin a Revisionist Western black and white movie in the bedroom, if that's available
radio,I'd like to listen to No Mundo dos Negocios on Lyon Demain 
video,watch a video about famous landmarks
news,what's the weather news
bw_movie,play a black and white masterpiece
documentary,Search for a documentary film to watch
movie,Find a Economics film movie on DC Universe to watch
silent_movie,I'm interested in silent movies from Guinea-Bissau what's on Netflix 
podcast,Play the highest-rated Design podcasts from Downcast 
cartoon,I'm interested in animated films, any recommendations
bw_movie,Initiate playback of a classic Faust et Marguerite in black and white in the bedroom
movie,Stream Nerver av stal on Vimeo On Demand 
movie,watch a psychological thriller
movie,find me a movie in the postmodernist film category with great cinematography and a unique storyline on Viddsee 
movie,Recommend a gore movie from Aywon Film Corporation on Quibi 
adult,show me adult clips
movie,I don't need a lecture on movie directors; just play something with Willy Maertens on NAVER NOW.
movie,Oh, dear, could you recommend a movie starring Giacomo Furia that's available on Avanti Cinema
movie,Dear, could you play a lovely movie in the kaidan eiga category on CBS All Access
radio_drama,I recommend checking out radionovela 
series,Can you play the latest season from the beginning for Trabajo sucio on CINE.AR Play 
audiobook,Play a Selis book from Rwanda on Playster 
radio_drama,I hate Eksyssuon lapset
music,Play Weston 's greatest hits
silent_movie,Play a silent movie on the smartwatch; something from Kievnauchfilm would be great
anime,play anime series
cartoon,show me a cartoon with colorful animation
radio,find radio for motivational talks
radio_drama,What's the latest on Doctor Who: The Early Adventures 
movie,Oh, I'd love to watch a film from Leah Baird Productions, Inc. in the Cinema pur genre, dear
podcast,find podcasts for learning languages
podcast,Explore The Teacher's Pet
music,I stumbled upon The Ballad Of Chasey Lain by My Tam from the album Camino Del Sol , and it's become a favorite of mine
cartoon,What's a trending Mis problemas con el matrimonio on VRV 
podcast,Look for Bedknobs and Broomflicks on Journaux d'Alexandre Dumas
radio,Listen to a variety of radio programs on different streaming platforms
series,What's the latest episode of The Voice of Korea on Ruutu 
video,I'd like to see some funny pranks and fails videos, can you find them on Samsung TV Plus 
radio,find radio with traffic updates
movie,Play the magic realist film movie Arunagirinathar on CBS All Access 
movie,Can you play a Bourekas film film directed by Adrian Grunberg starring Giovanni Ivan Scratuglia on Cavea Plus
movie,Play a movie starring Marie Askehave from Government Film Committee of Denmark on CuriosityStream
music,Give me the music from a film directed by Frederick Stephani 
movie,Play What Is A Reptile? because I heard it's cool, on Cavea Plus
movie,recommend a top rated movie from Vixen on Showtime 
music,I've been exploring different music genres lately, and Thirty Seconds To Mars 's There Must Be Some Way to Stop Them caught my attention, particularly Rosa sky 
cartoon,watch a cartoon with friends
music,Start playing Jackie's Bag from Wilhelm Schirp in NetEase Cloud Music now
series,Play the latest special release of I Do, Let's Eat on Ruutu 
video,What's new from hunter1s1k 
movie,Suggest a movie in the variety film category on Youtube Movies 
documentary,Check out the documentary Aleksey Vasilyev available in the documentary category on Hulu 
music,start a live music performance
video,Show me the recent videos from Lofi Girl 
movie,Start the film Carmen (pelicula de 1915 de Cecil B. DeMille) from Vudu 
news,Play the news feature from NTN24 
movie,Play the nunsploitation film La lunga mano on Roku Channel for me. I'm in the mood for something directed by Sfinks 
silent_movie,Let's set the mood with a silent movie from Phoebus Film on Youtube Movies in the dining room
movie,Begin your cinematic exploration with Didi - Der Experte available on tabii 
series,Play the newest episode of My So Called Life on Lingopie 
movie,play a movie that's suitable for a relaxing movie night on Quibi 
audiobook,Play a trope that's perfect for a road trip on RBMedia 
ad,What's the audio interpretation of Le Dompteur de femmes like for the visually impaired on YouTube Movies
music,Play Zane Skit from Aimee Allen on pandora, dude, seriously
podcast,I hate The Strange Case of Starship Iris
bw_movie,Commence a film portrait black and white film on the bedroom TV
series,Dive into the world of Buried and explore the most recent episodes on Dramox 
music,Let's listen to Nocturne from Lost Cherrees on FLO, Mom
movie,play a movie with a powerful message
ad,Give me the narrated version of I Like Your Nerve 
news,Give me the scoop on local news from MSNBC Streaming 
news,Give me the latest news report from L'Insider in Reman on BBC News App 
bw_movie,watch an old Hollywood black and white film
radio,Discover BBC Radio 1 relax 's dramatic romance lineup featuring Flowers Fall and Catkins Fly 
podcast,Tell me about SmartLess available on Eastern Swiss digital library and suggest something
adult,What are some explicit Blonde movies
music,Put on a favorite song
trailer,start a sneak peek of a drama film
music,I've been enjoying iTunes Live from London by La Position du tireur couche lately
radio_drama,Start a captivating staged radio play performance
hentai,Can you suggest something like Dark Shell on The Traditional Tune Archive 
music,Search for American hip hop on PennSound and initiate playback
silent_movie,Initiate silent film playback from Exposed Film Productions on Shudder in the home studio
radio_drama,Explore Atlanta Radio Theatre for superhero radio program radio plays
short_film,I want to watch For the Honor of the House on FXNOW
comic,Begin streaming the motion comic titled The Adventures of Tintin on Manga Plus 
news,play news interview series
podcast,start a literature podcast
news,start a news analysis podcast
music,play a random track
documentary,documentary on world history
movie,Watch Heber Holiday
radio_drama,Are there any new radio theatre programs on audio theatre central 
radio_drama,Discover the allure of audio storytelling with a diverse range of genres
series,Search for the newest serialized video 
video,I'd like to watch educational science experiment videos on FloSports 
music,Tell me about Insertion aria available on Oxford Reference Library and start playback
music,Start playing Tical 2000: Judgement Day from Nefeli Fasouli in tunezeal immediately
music,Who is the artist of Faller en tar 
music,start deep drum and bass
audio,Explore public service announcement recording and play it on PennSound 
video,Discover thought-provoking TED Talks on VRV 
silent_movie,I'd like to watch a silent movie, perhaps Winning with Wits on Sling TV 
music,Listen to I Try to Be Unfriendly on Anghami, quick
audio,Recommend something similar to spoken word recording on Eastern Swiss digital library and start playing
podcast,Press play and stay updated with the latest podcast episodes
podcast,Show me drama podcast on Malopolska Digital Library and start playback
video,Find dance tutorials on RTBF Auvio 
adult,show me mature content
video,Watch cat videos on DAZN 
comic,Trigger the playback of a supernatural comics animated comic on VRV 
tv_channel,Show me TV shows on Prospect Pictures from Prarthana TV 
video,Search for mindfulness and meditation videos on NBA Rakuten 
movie,Watch the movie Manevri na petiya etazh from Babaloo Studios on Filmnet, like, right now
adult,show me something spicy
audio,play footsteps in a forest
podcast,Explore Floodlines and play it on Galiciana 
movie,Begin the viewing of Alien Contact: Outer Space from Fert on Apple TV+ 
audiobook,start an audiobook on history
movie,play a movie with a surprising ending
movie,What's a popular blaxploitation horror film movie directed by Karsten Geisnaes that I can enjoy on Exxen
audio,Start playing water recording from ALHATORAH.ORG 
bts,Begin a behind-the-scenes marathon for insights into the creative process
silent_movie,Enchant the evening with the magic of silent cinema; initiate playback of a biographical sports film silent film on the patio speakers from Disney+ 
movie,Play the movie Little Joe, the Wrangler by Sun Center Studios on Tidal, dude
video,view video from AnielicA
tv_channel,Watch a live TV series on Nova Life through Misseri Studio 
comic,I want to watch something like The Sandman on Radio Javan 
music,Play the official army playlist on Soribada
audiobook,play an audio books on music
audiobook,Play a book written by a Seychelles author
movie,Find Die glowing Stunden on Filimo from Earl Owensby Studios 
anime,I want to watch Princess Lover! on Wakanim
cartoon,Tell me about The Fox and the Bear with Adventure themes
tv_channel,Watch Yes Plus shows on Barret Cooperativa 
movie,Start the film 
hentai,play explicit anime episodes
documentary,Find documentaries on ESPN+ 
radio_drama,Play something related to classic adventure on Viquitexts 
movie,Launch the mission: watch Lilacs on Namava
movie,Provide details about the movie Guclu Bir Yurek in the gross out category on the television
game,Playing skiing video game could be a good way to unwind
news,Keep me updated with UK Today on Bloomberg News 
movie,Start streaming Namma Preethiya Ramu in the Northern film category on tabii 
bw_movie,Explore and play a classic Faust et Marguerite in black and white on Shudder 
podcast,Initiate playback of Kiss the Crest on Poetry Archive 
movie,Can you begin streaming the classic film film Get the Weed from Central News Documentary Film Studio on tabii
bts,behind the scenes of Lord of the Rings
series,Watch On the Spot on AnimeLab and let me know your thoughts
radio_drama,Find something similar to With Wings as Eagles and play it on Missouri Digital Heritage Initiative
series,Play the episodes of Sherlock Holmes with the highest ratings on Samsung TV Plus 
game,Let's explore the world of BlackSite together
movie,Activate the movie Hayalimdeki Ask in the Findie category on YouTube Movies 
trailer,I want to watch the film teaser for "Wine, Women and Horses" with blaxploitation film on Netflix 
bw_movie,play a black and white motion picture
bw_movie,    Transport yourself to a bygone era with The Moon Has Risen on Peerflix 
movie,Can you play a film featuring Manuel Palacios Sierra from Phoebus Film on Crave
movie,Could you find a movie featuring Amber Ruffin on Netflix for me
video,What's new in VINwiki 
radio,Tune into a radio show with diverse genres
video,play a video about renewable energy
music,Show me Bakersfield sound on Big Sky Country Digital Network
adult,show me explicit programs
silent_movie,Commence playback of a silent movie from Belva Film on the voice assistant's speaker
radio_drama,What's the latest on science fiction radio play 
video,What's the latest upload from All Gas No Brakes 
movie,Play a Yiddish cinema film produced by Christie Film Company named Australian Diary. No. 097 on the home theater system
radio_drama,Start playing Gods and Monsters on Cranach Digital Archive 
cartoon,show me a cartoon with princesses
hentai,Play adult Parade Parade material
movie,Cue up the cinematic experience of Yasa v@ olm@y@ imkan ver (film, 1973) in the Experimental category on Quibi 
movie,Play movie Bandits in Milan on tabii 
movie,Could you find a film with Daniel Amalm in it, preferably from DNC Entertainment and available on NAVER NOW.
bw_movie,show me a vintage black and white film
documentary,Find something similar to Space and Astronomy on The Latin Library
documentary,I love Indian Summer School
movie,Can you start Galleguita on Starz by Maddock Films for me, dear
audiobook,I want to listen to a Comedy by a popular author on SonicBooks 
radio_drama,Play detective radio play from Persee 
podcast,Initiate playback of content related to Yes Indie'd Pod 
audiobook,start an narrated stories on film
documentary,I recommend Politics
silent_movie,Initiate playback of a vampire film silent film on the digital art frame in the hallway
tv_channel,Tune in to RTE International on Left/Right Productions for a TV episode 
music,Turn on a laid-back music playlist
music,Recommend flamenco jazz on Corpus Corporum and start playback
video,play a travel vlog
movie,start full-length movie
adult,view Jun Izumi MILF pornography in FetishNetwork
music,Inform me about Country folk
game,let's start up Video Action TV Game 1000 and play some SolarWolf 
music,Put a relaxing song
movie,Play the classic film from Lime Street Entertainment on Viddsee, my dear
silent_movie,Initiate playback of a Redsploitation silent film on the gaming console in the playroom
radio,Tune in to Un pulcino nella stoppa from Absolute Radio 20s 
music,Find and play a new instrumental music for me
movie,Start the film directed by Rae Berger on Disney+, please
adult_asmr,Search for sound porn in RealGfPorn 
movie,Explore the art of filmmaking through a collection of visually stunning movies
podcast,What are the top-rated podcasts on AfterBuzz TV right now
documentary,documentary on ancient civilizations
bw_movie,Could you find and play an old Faust et Marguerite on the living room TV for me
movie,Start Partners of the Plains from the beginning on Netflix 
adult,Find explicit Voyeur videos
radio,find radio station with live DJ
music,Have you listened to Jusqu'au dernier gramme from MaMaSe! by Dos Gringos 
movie,I want to watch something like Yeni Bir Ulkede on YouTube Premium 
audiobook,What's the latest release in the minisaga category on Audiobooks Now 
music,start a Electronic track
news,Give me the local news highlights on CBS News Online 
